Customer_ID,Asset_Objective_ID,Total
1,1,115790.1888
2,1,1991070.432
3,1,1569349.6
4,1,2162567.722
5,1,1366449.552
6,1,2185829.942
7,1,1261115.482
8,1,1259463.629
9,1,548881.632
10,1,2664332.424
11,1,2591176.723
12,1,833758.848
13,1,1535252.576
14,1,1084748.87
15,1,764270.7072
16,1,653515.304
17,1,45985.68
18,1,854837.152
19,1,64424.88
20,1,1386127.642
21,1,1978041.562
22,1,382795.5456
23,1,992260.152
24,1,124370.272
25,1,53579.344
26,1,949653.224
27,1,779956.8192
28,1,661097.008
29,1,578683.1232
30,1,1301489.28
31,1,1867233.888
32,1,137100.6
33,1,842119.6992
34,1,219713.936
35,1,1783.8912
36,1,1050273.713
37,1,2384246.124
38,1,1146465.84
39,1,2342084.16
40,1,2509365.456
41,1,2415075.312
42,1,680006.6208
43,1,3152617.978
44,1,258760.32
45,1,692125.512
46,1,126343.256
47,1,47708.544
48,1,713512.384
49,1,980170.4016
50,1,248613.456
51,1,392558.816
52,1,831943.424
53,1,1854639.634
54,1,57718.232
55,1,484889.6
56,1,803947.456
57,1,303243.7824
58,1,866499.5664
59,1,1042276.685
60,1,1031799.496
61,1,565782.256
62,1,2023207.43
63,1,747452.784
64,1,1255135.565
65,1,1929232.531
66,1,446377.932
67,1,271137.438
68,1,2469722.362
69,1,1220573.765
70,1,129519.52
71,1,3462727.507
72,1,2186569.008
73,1,1368002.563
74,1,3187550.621
75,1,844757.2224
76,1,101663.9208
77,1,2272006.152
78,1,1946204.208
79,1,2255322.326
80,1,1329750.49
81,1,2156686.646
82,1,1080057.139
83,1,2365367.472
84,1,2392094.328
85,1,2570214.192
86,1,2247820.474
87,1,2468473.613
88,1,794270.048
89,1,576143.88
90,1,169863.096
91,1,1245528.211
92,1,1032120.461
93,1,61528.3344
94,1,119256.28
95,1,1251056.102
96,1,233587.328
97,1,434819.424
98,1,1204638.24
99,1,558981.488
100,1,1590954.352
101,1,1831096.987
102,1,158738.8608
103,1,1553028.173
104,1,646394.2992
105,1,424579.48
106,1,1315426.32
107,1,564260.424
108,1,1769774.76
109,1,289207.854
110,1,817909.092
111,1,2409081.792
112,1,1055502.63
113,1,1682966.48
114,1,246743.328
115,1,2413483.488
116,1,894011.7888
117,1,3455827.69
118,1,1762662.096
119,1,417038.544
120,1,307653.216
121,1,3002687.688
122,1,652041.936
123,1,82535.856
124,1,2810770.56
125,1,662311.728
126,1,1134000.691
127,1,67700.256
128,1,911294.072
129,1,694911.464
130,1,292995.664
131,1,711797.944
132,1,1253835.898
133,1,1815248.698
134,1,154409.632
135,1,1596639.824
136,1,1568221.325
137,1,47415.5136
138,1,1380499.952
139,1,853646.144
140,1,27371.76
141,1,2118312.019
142,1,691665.832
143,1,477362.704
144,1,1174287.13
145,1,860293.2
146,1,82490.096
147,1,1693691.002
148,1,130529.88
149,1,226231.616
150,1,684636.576
151,1,1079667.576
152,1,9045.504
153,1,1617913.19
154,1,907818.912
155,1,1491296.976
156,1,494891.28
157,1,2803086.374
158,1,460202.3712
159,1,988467.2928
160,1,3262471.056
161,1,147971.8656
162,1,138970.5408
163,1,1249734.408
164,1,2570479.142
165,1,1586243.256
166,1,369314.816
167,1,222826.344
168,1,1031792.112
169,1,992488.9728
170,1,1873561.664
171,1,1666211.04
172,1,474241.04
173,1,467981.7792
174,1,1141078.432
175,1,1652232.629
176,1,301785.3696
177,1,1485485.165
178,1,323676.288
179,1,837804.344
180,1,402934.0224
181,1,998782.096
182,1,451401.3504
183,1,1015226.534
184,1,444020.408
185,1,506050.272
186,1,722397.728
187,1,1543194.182
188,1,2039383.008
189,1,703642.68
190,1,694202.496
191,1,877731.92
192,1,1092736.944
193,1,890957.392
194,1,187856.8848
195,1,507110.292
196,1,2428372.44
197,1,1746140.698
198,1,1962180.73
199,1,1003370.784
200,1,1666631.616
201,1,345460.6584
202,1,3020982.307
203,1,3630149.453
204,1,2862841.363
205,1,2355806.045
206,1,2290695.638
207,1,776172.0096
208,1,657335.64
209,1,1225984.968
210,1,3574024.272
211,1,2447120.208
212,1,1168700.083
213,1,3334874.026
214,1,2760277.853
215,1,1448514.912
216,1,1388216.045
217,1,1757983.594
218,1,531050.208
219,1,165813.232
220,1,1292112.245
221,1,2062655.213
222,1,118347.2784
223,1,484152.76
224,1,332103.6576
225,1,1327174.056
226,1,1663466.314
227,1,726486.072
228,1,1157640.682
229,1,627391.752
230,1,296193.924
231,1,1846625.04
232,1,980373.888
233,1,2640572.438
234,1,3207435.379
235,1,2387085.667
236,1,3555946.742
237,1,3057297.61
238,1,3336276.154
